"Gift Wrapping","Embalagem de presente"
"Add Gift Wrapping","Adicionar papel de embrulho"
"Save and Continue Edit","Salvar e Continuar Editar"
"Are you sure you want to delete this gift wrapping?","Tem certeza de que deseja excluir este embrulho?"
"Edit Gift Wrapping ""%1""","Editar papel de embrulho ""%1"""
"New Gift Wrapping","Novo embrulho de presente"
"Gift Wrapping Information","Informações sobre embrulho de presentes"
"Gift Wrapping Design","Design de embrulho de presente"
Websites,Websites
Status,Status
Enabled,ativado
Disabled,Desativado
Price,Preço
Image,Imagem
[GLOBAL],[GLOBAL]
[WEBSITE],[LOCAL NA REDE INTERNET]
"[STORE VIEW]","[VISTA DE ARMAZENAMENTO]"
"Please request the correct gift wrapping.","Por favor
"You updated a total of %1 records.","Você atualizou um total de %1 registros."
"Something went wrong while updating the wrapping(s) status.","Algo deu errado ao atualizar o status da embalagem".
"You deleted the gift wrapping.","Você excluiu o embrulho."
0,01,0,01
"Please select items.","Por favor selecione itens."
"You deleted a total of %1 records.","Você excluiu um total de %1 registros".
"You have not uploaded the image.","Você não enviou a imagem."
"You saved the gift wrapping.","Você salvou o embrulho de presente."
"We can't save the gift wrapping right now.","Não podemos salvar o embrulho agora."
"We can't update the image right now.","Não podemos atualizar a imagem agora."
"Please select","Por favor selecione"
"Excluding Tax","Excluindo Imposto"
"Including Tax","Incluindo taxas"
"Including and Excluding Tax","Incluindo e Excluindo Imposto"
None,Nenhum
"The image content must be valid data.","O conteúdo da imagem deve ser válido."
"The image extension ""%1"" not allowed.","A extensão da imagem ""%1""não permitido."
"Provided image name contains forbidden characters.","O nome da imagem fornecido contém caracteres proibidos."
"The image MIME type is not valid or not supported.","O tipo MIME da imagem não é válido ou não é suportado."
"Gift Wrapping with specified ID ""%1"" not found.","Embrulho com ID especificado ""%1"" não encontrado."
"Please enter valid currency code: %1","Por favor insira o código de moeda válido: %1"
"Unable to remove gift wrapping %1","Não foi possível remover o envolvimento de presentes %1"
"Printed Card","Cartão impresso"
"Use Config Settings","Usar configurações de configuração"
"Use Default Value","Usar valor padrão"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Deixe uma caixa em branco se você não quiser adicionar embrulhos para todo o pedido."
"Price Excl. Tax","Preço sem imposto"
"Price Incl. Tax","Preço Incl. Imposto"
"Send Gift Receipt","Enviar recibo do presente"
"Add Printed Card","Adicionar cartão impresso"
"Gift Wrapping for the Entire Order","Embrulho para toda a encomenda"
"Other Gift Options","Outras opções de presentes"
"Excl. Tax","Excl. Imposto"
"Incl. Tax","Incl. Imposto"
Preview,Visualizar
"Gift wrapping","Embalagem de presente"
"Printed card","Cartão impresso"
"Gift receipt","Recibo de presente"
"Pick a paper of your choice (optional)","Escolha um papel de sua escolha (opcional)"
"No image","Nenhuma imagem"
Remove,Remover
"Gift Receipt","Recibo de presente"
"Allow Gift Wrapping on Order Level","Permitir embrulho no nível do pedido"
"Allow Gift Wrapping for Order Items","Permitir embrulho para itens de pedido"
"Allow Gift Receipt","Permitir recibo de oferta"
"Allow Printed Card","Permitir cartão impresso"
"Default Price for Printed Card","Preço padrão para cartão impresso"
"Tax Class for Gift Options","Classe de imposto para opções de presentes"
"Display Gift Wrapping Prices","Exibir os preços do papel de embrulho"
"Display Printed Card Prices","Exibir preços de cartões impressos"
Delete,Excluir
"Are you sure you want to delete the selected gift wrappings?","Tem certeza de que deseja excluir os embrulhos de presentes selecionados?"
"Change Status","Alterar status"
ID,identidade
"Gift Wrap Design","Design de embrulho de presente"
Action,Açao
Edit,Editar